9:13:25 tradeReport time, side, price, shares, avgPrice: 21:05:05 SLD 3.23 16500 3.23
9:13:26 tradeReport time, side, price, shares, avgPrice: 21:05:05 SLD 3.23 5500 3.23
9:13:26 tradeReport time, side, price, shares, avgPrice: 21:05:09 SLD 3.23 9000 3.23
9:13:26 tradeReport time, side, price, shares, avgPrice: 21:05:11 SLD 3.23 1500 3.23
9:13:26 tradeReport time, side, price, shares, avgPrice: 21:05:11 SLD 3.23 11000 3.23
9:13:26 tradeReport time, side, price, shares, avgPrice: 21:05:11 SLD 3.23 2000 3.23
9:13:26 tradeReport time, side, price, shares, avgPrice: 21:05:13 SLD 3.23 54500 3.23
9:13:26 tradeReport time, side, price, shares, avgPrice: 21:54:34 SLD 3.24 100000 3.24
9:13:26 tradeReport time, side, price, shares, avgPrice: 22:22:52 SLD 3.24 100000 3.24
9:13:26 tradeReport time, side, price, shares, avgPrice: 22:36:20 SLD 3.25 100000 3.25
9:13:26 tradeReport time, side, price, shares, avgPrice: 01:57:32 SLD 3.23 15500 3.23
9:13:26 tradeReport time, side, price, shares, avgPrice: 01:58:09 SLD 3.23 16000 3.23
9:13:26 tradeReport time, side, price, shares, avgPrice: 01:58:52 SLD 3.23 16500 3.23
9:13:26 tradeReport time, side, price, shares, avgPrice: 01:59:22 SLD 3.23 4000 3.23
9:13:26 tradeReport time, side, price, shares, avgPrice: 01:59:38 SLD 3.23 15500 3.23
9:13:26 tradeReport time, side, price, shares, avgPrice: 02:00:19 SLD 3.23 16000 3.23
9:13:26 tradeReport time, side, price, shares, avgPrice: 02:00:26 SLD 3.23 16500 3.23
9:13:26 tradeReport time, side, price, shares, avgPrice: 02:21:41 SLD 3.23 98000 3.23
9:13:26 tradeReport time, side, price, shares, avgPrice: 02:22:15 SLD 3.23 24500 3.23
9:13:26 tradeReport time, side, price, shares, avgPrice: 02:22:53 SLD 3.23 2500 3.23
9:14:46 tradeReport time, side, price, shares, avgPrice: 21:05:05 SLD 3.23 16500 3.23
9:14:46 tradeReport time, side, price, shares, avgPrice: 21:05:05 SLD 3.23 5500 3.23
9:14:46 tradeReport time, side, price, shares, avgPrice: 21:05:09 SLD 3.23 9000 3.23
9:14:46 tradeReport time, side, price, shares, avgPrice: 21:05:11 SLD 3.23 1500 3.23
9:14:46 tradeReport time, side, price, shares, avgPrice: 21:05:11 SLD 3.23 11000 3.23
9:14:47 tradeReport time, side, price, shares, avgPrice: 21:05:11 SLD 3.23 2000 3.23
9:14:47 tradeReport time, side, price, shares, avgPrice: 21:05:13 SLD 3.23 54500 3.23
9:14:47 tradeReport time, side, price, shares, avgPrice: 21:54:34 SLD 3.24 100000 3.24
9:14:47 tradeReport time, side, price, shares, avgPrice: 22:22:52 SLD 3.24 100000 3.24
9:14:47 tradeReport time, side, price, shares, avgPrice: 22:36:20 SLD 3.25 100000 3.25
9:14:47 tradeReport time, side, price, shares, avgPrice: 01:57:32 SLD 3.23 15500 3.23
9:14:47 tradeReport time, side, price, shares, avgPrice: 01:58:09 SLD 3.23 16000 3.23
9:14:47 tradeReport time, side, price, shares, avgPrice: 01:58:52 SLD 3.23 16500 3.23
9:14:47 tradeReport time, side, price, shares, avgPrice: 01:59:22 SLD 3.23 4000 3.23
9:14:47 tradeReport time, side, price, shares, avgPrice: 01:59:38 SLD 3.23 15500 3.23
9:14:47 tradeReport time, side, price, shares, avgPrice: 02:00:19 SLD 3.23 16000 3.23
9:14:47 tradeReport time, side, price, shares, avgPrice: 02:00:26 SLD 3.23 16500 3.23
9:14:47 tradeReport time, side, price, shares, avgPrice: 02:21:41 SLD 3.23 98000 3.23
9:14:47 tradeReport time, side, price, shares, avgPrice: 02:22:15 SLD 3.23 24500 3.23
9:14:47 tradeReport time, side, price, shares, avgPrice: 02:22:53 SLD 3.23 2500 3.23
list of executions [orderID: 0 time: 22:36:20 side: SLD shares: 100000 price: 3.25, orderID: 0 time: 01:59:38 side: SLD shares: 15500 price: 3.23, orderID: 0 time: 02:22:53 side: SLD shares: 2500 price: 3.23, orderID: 0 time: 21:05:11 side: SLD shares: 2000 price: 3.23, orderID: 0 time: 21:05:11 side: SLD shares: 1500 price: 3.23, orderID: 0 time: 21:05:13 side: SLD shares: 54500 price: 3.23, orderID: 0 time: 02:22:15 side: SLD shares: 24500 price: 3.23, orderID: 0 time: 21:05:09 side: SLD shares: 9000 price: 3.23, orderID: 0 time: 01:58:52 side: SLD shares: 16500 price: 3.23, orderID: 0 time: 01:59:22 side: SLD shares: 4000 price: 3.23, orderID: 0 time: 22:22:52 side: SLD shares: 100000 price: 3.24, orderID: 0 time: 01:58:09 side: SLD shares: 16000 price: 3.23, orderID: 0 time: 02:00:19 side: SLD shares: 16000 price: 3.23, orderID: 0 time: 21:54:34 side: SLD shares: 100000 price: 3.24, orderID: 0 time: 02:00:26 side: SLD shares: 16500 price: 3.23, orderID: 0 time: 21:05:05 side: SLD shares: 5500 price: 3.23, orderID: 0 time: 21:05:05 side: SLD shares: 16500 price: 3.23, orderID: 0 time: 21:05:11 side: SLD shares: 11000 price: 3.23, orderID: 0 time: 01:57:32 side: SLD shares: 15500 price: 3.23, orderID: 0 time: 02:21:41 side: SLD shares: 98000 price: 3.23]
